order_id,return_requested,cancelled_order,return_date,refund_issued,refund_denied
5001,TRUE,FALSE,1/20/2023,TRUE,FALSE
5002,FALSE,FALSE,,FALSE,FALSE
5003,FALSE,TRUE,,FALSE,FALSE
5004,TRUE,FALSE,1/25/2023,FALSE,TRUE
5005,FALSE,FALSE,,FALSE,FALSE
5006,TRUE,FALSE,1/27/2023,TRUE,FALSE
5007,FALSE,FALSE,,FALSE,FALSE
5008,TRUE,FALSE,1/30/2023,TRUE,FALSE
5009,FALSE,TRUE,,FALSE,FALSE
5010,FALSE,FALSE,,FALSE,FALSE
5011,TRUE,FALSE,2/2/2023,FALSE,TRUE
5012,FALSE,FALSE,,FALSE,FALSE
5013,TRUE,FALSE,2/4/2023,TRUE,FALSE
5014,FALSE,FALSE,,FALSE,FALSE
5015,FALSE,TRUE,,FALSE,FALSE
5016,TRUE,FALSE,2/8/2023,TRUE,FALSE
5017,FALSE,FALSE,,FALSE,FALSE
5018,TRUE,FALSE,2/10/2023,FALSE,TRUE
5019,FALSE,FALSE,,FALSE,FALSE
5020,FALSE,FALSE,,FALSE,FALSE
5021,TRUE,FALSE,2/12/2023,TRUE,FALSE
5022,FALSE,TRUE,,FALSE,FALSE
5023,FALSE,FALSE,,FALSE,FALSE
5024,TRUE,FALSE,2/15/2023,TRUE,FALSE
5025,FALSE,FALSE,,FALSE,FALSE
